inchikey,smiles,pchembl_value,molecule_chembl_id,n_measurements,active,scaffold,split
AAXDVSTZQJTQAT-UHFFFAOYSA-N,CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccc(C(F)(F)F)cc4)c3c2)n1,5.24,CHEMBL4126252,1,1,CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccc(C(F)(F)F)cc4)c3c2)n1,train
ABDCNCRDRFBALI-LBPRGKRZSA-N,CCOc1ccnc2c(C(=O)Nc3cnccc3N3CCC[C@H](N)C3)c(N)sc12,6.26,CHEMBL5827980,1,1,CCOc1ccnc2c(C(=O)Nc3cnccc3N3CCC[C@H](N)C3)c(N)sc12,test
ABHCOFKCKYHXPW-UHFFFAOYSA-N,FC1(COc2cccc3ccc(-c4nnc5ccc(-c6ccccc6)cn45)nc23)CCNCC1,6.85,CHEMBL3660077,1,1,FC1(COc2cccc3ccc(-c4nnc5ccc(-c6ccccc6)cn45)nc23)CCNCC1,train
ABHFIRYPSLUDGX-UHFFFAOYSA-N,O=C(O)c1cc2cc(-c3cnn(C4CCNCC4)c3)ccc2o1,5.24,CHEMBL1782510,1,1,O=C(O)c1cc2cc(-c3cnn(C4CCNCC4)c3)ccc2o1,test
ABUQYEHMIDSXIU-UHFFFAOYSA-N,Fc1cccc(F)c1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,9.0,CHEMBL1915636,1,1,Fc1cccc(F)c1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,train
ABZNMUCRZXRUAU-UHFFFAOYSA-N,FC1CCNCCC1Oc1cccc2ccc(-c3nnc4ccc(C5CC5)cn34)nc12,6.18,CHEMBL3660089,1,1,FC1CCNCCC1Oc1cccc2ccc(-c3nnc4ccc(C5CC5)cn34)nc12,train
ACDKOFBRGHETMP-UHFFFAOYSA-N,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)C,8.79,CHEMBL3970766,1,1,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)C,train
ACMMEMWMPLSEFY-UHFFFAOYSA-N,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CCC4)cc2)CC1,5.44,CHEMBL3666763,1,1,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CCC4)cc2)CC1,train
ACPOUJIDANTYHO-UHFFFAOYSA-N,O=C1c2ccccc2-c2n[nH]c3cccc1c23,5.98,CHEMBL7064,1,1,O=C1c2ccccc2-c2n[nH]c3cccc1c23,test
ACTXCQHXPKCRIZ-IMSXMHJPSA-N,COc1ccc(N2C(=O)C(CC(=O)O)S/C2=N/N=C/c2c(C)ccc(C(C)C)c2O)cc1,6.01,CHEMBL5569005,1,1,COc1ccc(N2C(=O)C(CC(=O)O)S/C2=N/N=C/c2c(C)ccc(C(C)C)c2O)cc1,train
ACVSVHBGMBCOLQ-GASCZTMLSA-N,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H]1C[C@@H](NCCS(C)(=O)=O)C1,8.89,CHEMBL3918797,1,1,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H]1C[C@@H](NCCS(C)(=O)=O)C1,train
ACVVOPWTQGINNG-UHFFFAOYSA-N,c1cc(N2CCCNCC2)nc(-n2ncc3cnc(-c4cncc(C5COC5)c4)cc32)c1,8.04,CHEMBL3939101,1,1,c1cc(N2CCCNCC2)nc(-n2ncc3cnc(-c4cncc(C5COC5)c4)cc32)c1,train
ACWWBXAGCBHIGJ-UHFFFAOYSA-N,Cc1cccc(Oc2ccc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)c1,7.32,CHEMBL3959074,1,1,Cc1cccc(Oc2ccc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)c1,train
