assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL859489,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1144455,CHEMBL535,5.3,Kd,nM,5000.0,Kd,uM,5.0
CHEMBL859489,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,CHEMBL1144455,CHEMBL91829,6.89,Kd,nM,130.0,Kd,uM,0.13
CHEMBL859489,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CHEMBL1144455,CHEMBL428690,6.19,Kd,nM,650.0,Kd,uM,0.65
CHEMBL859489,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1144455,CHEMBL388978,8.4,Kd,nM,4.0,Kd,uM,0.004
CHEMBL859489,Oc1c2ccccc2c2c3c(cccc13)N=N2,CHEMBL1144455,CHEMBL1725279,6.34,Kd,nM,460.0,Kd,uM,0.46
CHEMBL898066,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,CHEMBL1137531,CHEMBL398606,5.76,IC50,nM,1720.0,IC50,uM,1.72
CHEMBL931462,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1144687,CHEMBL388978,7.55,IC50,nM,28.0,IC50,nM,28.0
CHEMBL931462,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL1144687,CHEMBL82242,4.6,IC50,nM,25000.0,IC50,uM,25.0
CHEMBL957366,Cc1ccc(/C=C2\SC(O)=NC2=O)cc1,CHEMBL1139352,CHEMBL447571,5.36,IC50,nM,4400.0,IC50,uM,4.4
CHEMBL957366,Cc1cccc(/C=C2\SC(=O)NC2=O)c1,CHEMBL1139352,CHEMBL498406,7.0,IC50,nM,100.0,IC50,uM,0.1
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(C(F)(F)F)cc2)S1,CHEMBL1139352,CHEMBL447567,7.1,IC50,nM,80.0,IC50,uM,0.08
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1,CHEMBL1139352,CHEMBL183906,7.0,IC50,nM,100.0,IC50,uM,0.1
CHEMBL957366,COCOc1c(/C=C2\SC(=O)NC2=O)cccc1C(F)(F)F,CHEMBL1139352,CHEMBL497607,5.82,IC50,nM,1500.0,IC50,uM,1.5
CHEMBL957366,COCCOc1c(/C=C2\SC(=O)NC2=O)cccc1C(F)(F)F,CHEMBL1139352,CHEMBL447741,4.38,IC50,nM,42000.0,IC50,uM,42.0
CHEMBL957366,CCc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL493742,6.52,IC50,nM,300.0,IC50,uM,0.3
CHEMBL957366,COc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL85496,6.52,IC50,nM,300.0,IC50,uM,0.3
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(OC(F)(F)F)cc2)S1,CHEMBL1139352,CHEMBL454557,6.3,IC50,nM,500.0,IC50,uM,0.5
CHEMBL957366,COc1cccc(/C=C2\SC(=O)NC2=O)c1,CHEMBL1139352,CHEMBL496782,7.4,IC50,nM,40.0,IC50,uM,0.04
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(OC(F)(F)F)c2)S1,CHEMBL1139352,CHEMBL496783,6.05,IC50,nM,900.0,IC50,uM,0.9
CHEMBL957366,CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL86257,4.37,IC50,nM,43000.0,IC50,uM,43.0
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(OC(F)(F)C(F)F)c2)S1,CHEMBL1139352,CHEMBL496784,5.66,IC50,nM,2200.0,IC50,uM,2.2
CHEMBL957366,CCCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL84558,7.7,IC50,nM,20.0,IC50,uM,0.02
CHEMBL957366,CN(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL493847,7.0,IC50,nM,100.0,IC50,uM,0.1
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(F)cc2)S1,CHEMBL1139352,CHEMBL496786,5.64,IC50,nM,2300.0,IC50,uM,2.3
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(F)c2)S1,CHEMBL1139352,CHEMBL448443,6.4,IC50,nM,400.0,IC50,uM,0.4
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(Cl)cc2)S1,CHEMBL1139352,CHEMBL496995,6.7,IC50,nM,200.0,IC50,uM,0.2
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(Cl)c2)S1,CHEMBL1139352,CHEMBL495398,7.4,IC50,nM,40.0,IC50,uM,0.04
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(Br)cc2)S1,CHEMBL1139352,CHEMBL496996,7.05,IC50,nM,90.0,IC50,uM,0.09
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(Br)c2)S1,CHEMBL1139352,CHEMBL496587,7.0,IC50,nM,100.0,IC50,uM,0.1
