chembl_id,smiles,pchembl,n_measurements,pchembl_spread,active
CHEMBL5409558,CC(C)C1CN(C(=O)c2ccc(C(=O)N3C[C@@H](C(=O)N[C@H]4C[C@@H]4c4ccccc4)[C@H](C(=O)N[C@H]4C[C@@H]4c4ccccc4)C3)cc2)CC1C(=O)N[C@H]1C[C@@H]1c1ccccc1,6.15,1,0.0,1
CHEMBL5437599,CC(C)CC1CN(C(=O)c2ccc(C(=O)N3C[C@@H](C(=O)N[C@H]4C[C@@H]4c4ccccc4)[C@H](C(=O)N[C@H]4C[C@@H]4c4ccccc4)C3)cc2)CC1C(=O)N[C@H]1C[C@@H]1c1ccccc1,6.54,1,0.0,1
CHEMBL5078772,CC(C)COC(=O)c1c(NC(=S)Nc2cccc3ccccc23)sc2c1CCC2,4.55,1,0.0,0
CHEMBL5087088,CC(C)COC(=O)c1c(NC(=S)Nc2cccc3ccccc23)sc2c1CCCC2,4.52,1,0.0,0
CHEMBL4468048,CC(C)OC(=O)c1c(NC(=O)N2CCN(C)CC2)sc2c1CCC2,5.34,1,0.0,1
CHEMBL4473216,CC(C)OC(=O)c1c(NC(=S)N2CCN(C)CC2)sc2c1CCC2,4.79,1,0.0,0
CHEMBL4446272,CC(C)OC(=O)c1c(NC(=S)N2CCN(C)CC2)sc2c1CCCC2,4.34,1,0.0,0
CHEMBL5092787,CC(C)OC(=O)c1c(NC(=S)Nc2ccc(Br)c3ccccc23)sc2c1CCC2,7.41,1,0.0,1
CHEMBL5084309,CC(C)OC(=O)c1c(NC(=S)Nc2ccc(Br)c3ccccc23)sc2c1CCCC2,7.32,1,0.0,1
CHEMBL5088133,CC(C)OC(=O)c1c(NC(=S)Nc2ccc(F)c3ccccc23)sc2c1CCCC2,7.46,1,0.0,1
CHEMBL5081498,CC(C)OC(=O)c1c(NC(=S)Nc2cccc3ccccc23)sc2c1CCC2,6.75,1,0.0,1
CHEMBL5075033,CC(C)OC(=O)c1c(NC(=S)Nc2cccc3ccccc23)sc2c1CCCC2,6.85,1,0.0,1
CHEMBL5087765,CC(C)OC(=O)c1c(NC(=S)Nc2cccc3ccccc23)sc2c1CCCCC2,5.65,1,0.0,1
CHEMBL1923538,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CSC[C@H](N)C(=O)NCC(=O)OC(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,9.06,1,0.0,1
CHEMBL5074635,CC1CCc2c(sc(NC(=S)Nc3cccc4ccccc34)c2C(=O)OC(C)C)C1,5.77,1,0.0,1
CHEMBL4464681,CC1CCc2cc(F)cc3c(O)c(C(=O)NC4CCc5ncccc54)c(=O)n1c23,5.52,1,0.0,1
CHEMBL4514785,CC1CCc2cc(F)cc3c(O)c(C(=O)NCCc4cccnc4)c(=O)n1c23,5.800000000000001,2,0.14,1
CHEMBL4465403,CC1CCc2cc(F)cc3c(O)c(C(=O)NCc4ccc(Cl)nc4)c(=O)n1c23,5.3,1,0.0,1
